DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA,,,,,,,,,,
4662374,5154605,7945,138841618,0,1308514,0,0,242071,42175,0,1262,,,,,,,,,,,
7236628,7818021,11235,235130735,0,2123607,139628,291046,0,218142,0,2137,,,,,,,,,,,
5511690,6184731,9508,204411684,0,1235870,48883,193907,297830,20651,0,1858,,,,,,,,,,,
6402346,7066351,12732,193354413,0,2214547,0,241079,0,233236,0,1757,,,,,,,,,,,
6793494,7448126,13363,239671142,0,1735578,111050,344857,89769,138383,0,2178,,,,,,,,,,,
7031949,7858830,13466,232252683,0,2669897,0,75926,295854,259756,0,2111,,,,,,,,,,,
6255349,6841136,10813,173306163,0,2359639,0,112554,19644,254262,0,1575,,,,,,,,,,,
6541998,6737903,12449,239107235,0,1077871,323509,111519,218526,0,1,2173,,,,,,,,,,,
6790263,7539249,11195,212300312,0,2523191,3611,146519,135370,262166,0,1930,,,,,,,,,,,
5275715,5662139,10751,175536885,0,1132747,124893,0,318272,0,0,1595,,,,,,,,,,,
6514528,7210023,11778,198362392,0,2297667,0,233824,14430,244716,0,1803,,,,,,,,,,,
5030711,5568500,8176,151450930,0,1548935,0,0,247983,81237,0,1376,,,,,,,,,,,
6204209,6569518,10757,223406620,0,1049781,238441,167086,235161,0,0,2031,,,,,,,,,,,
5769108,6229595,9746,141409811,0,2267967,0,0,16588,239565,0,1285,,,,,,,,,,,
6010546,6663687,12512,204936125,0,1814324,40965,65434,327284,111984,0,1863,,,,,,,,,,,
5241899,5652422,8912,164889626,0,1298616,95011,0,259415,37522,0,1499,,,,,,,,,,,
6742911,6898210,9534,196406265,0,1668453,277440,79280,0,142398,0,1785,,,,,,,,,,,
5756688,6427373,11622,188219909,0,1745356,0,179741,166662,127302,0,1711,,,,,,,,,,,
5070713,5655502,8592,162152993,0,1507575,0,0,314160,63282,0,1474,,,,,,,,,,,
6736073,7333459,11648,222463092,0,2054982,104579,123867,204570,172592,0,2022,,,,,,,,,,,
7900593,8137590,12758,254281265,0,2111849,346166,0,203134,182230,0,2311,,,,,,,,,,,
5842522,6368731,11366,159127296,0,2072200,0,126428,0,209604,0,1446,,,,,,,,,,,
6556457,7063843,9766,174788909,0,2519230,44201,57441,0,284197,0,1589,,,,,,,,,,,
4160774,4570507,7360,117289059,0,1015745,0,0,202540,0,0,1066,,,,,,,,,,,
7375478,7750043,13322,266488300,0,1460450,313149,218423,198422,74405,0,2422,,,,,,,,,,,
6175341,6330022,9796,205355775,0,814290,308629,255214,0,0,0,1866,,,,,,,,,,,
5495178,5983705,8770,144680276,0,2004858,0,0,99129,182002,0,1315,,,,,,,,,,,
6252225,6538472,9852,219631670,0,906194,273451,258846,91896,0,0,1996,,,,,,,,,,,
5781272,6170284,9120,192510678,0,1027132,164099,306614,0,35525,0,1750,,,,,,,,,,,
6088133,6517322,10885,203792875,0,1487894,128496,256053,0,104978,1,1852,,,,,,,,,,,
5333597,5835079,8940,146664735,0,1846227,0,0,148998,147253,0,1333,,,,,,,,,,,
5854987,6333131,11424,213669416,0,1046939,159074,210505,232109,0,0,1942,,,,,,,,,,,
7518665,7759926,12266,243148421,0,1930751,324081,0,218294,149553,0,2210,,,,,,,,,,,
5821349,6191431,10831,166836898,0,1608821,105841,142980,0,132378,0,1516,,,,,,,,,,,
6751003,7435118,13184,199990554,0,2656153,0,64022,145819,282498,0,1818,,,,,,,,,,,
7304279,8026075,12024,278819050,0,1796200,169615,266367,302153,113142,0,2534,,,,,,,,,,,
6200872,6988842,10266,213597049,0,1874756,0,280883,140363,153317,0,1941,,,,,,,,,,,
5285828,5837825,10982,159192679,0,1461969,0,248401,0,107904,0,1447,,,,,,,,,,,
8386651,9178621,13843,300884186,0,2543080,165649,337552,147497,263279,0,2735,,,,,,,,,,,
5335500,5907629,10422,190735369,0,1367970,17437,267412,61559,67578,1,1734,,,,,,,,,,,
7046964,7988728,12220,254425359,0,2314681,0,302649,216717,213799,0,2313,,,,,,,,,,,
5984024,5968646,11030,182309201,0,814566,336922,130086,0,0,0,1657,,,,,,,,,,,
3918816,4245246,6464,97869327,0,934241,0,0,121444,0,0,889,,,,,,,,,,,
5889924,6158761,10896,187875207,0,1284730,206343,14755,222510,41260,0,1708,,,,,,,,,,,
7448133,7668117,12357,233349115,0,1804177,315023,168335,0,164832,0,2121,,,,,,,,,,,
8151734,8719012,15013,290133192,0,2203798,253076,212812,220339,194543,0,2637,,,,,,,,,,,
7059650,7943195,13251,243826674,0,2395801,0,298530,146447,238977,0,2216,,,,,,,,,,,
7353366,7782515,11265,237581212,0,2203644,221241,0,252331,189419,0,2159,,,,,,,,,,,
7454730,7749602,13009,265799647,0,2087510,282983,0,242180,149824,1,2416,,,,,,,,,,,
6855826,7162491,12920,193625688,0,2133575,177903,76760,0,219720,0,1760,,,,,,,,,,,
8806631,9547641,13635,307435347,0,2999883,201333,77659,346961,306197,0,2794,,,,,,,,,,,
7707891,7904449,12750,242143745,0,1919911,342787,119227,43017,176925,0,2201,,,,,,,,,,,
5167453,5143501,8311,137579304,0,842327,253142,0,28831,0,0,1250,,,,,,,,,,,
5179082,5589596,8351,135899185,0,1597403,25640,97749,0,130637,0,1235,,,,,,,,,,,
9107096,9903477,15713,344673985,0,2555215,251919,337875,262650,245992,0,3133,,,,,,,,,,,
4321988,4771060,8760,129179588,0,1065852,0,0,252193,0,0,1174,,,,,,,,,,,
4424951,4660086,7209,104936009,0,1093155,55502,38420,0,46686,0,954,,,,,,,,,,,
8854697,9344832,13774,282586329,0,3046780,268081,0,217545,335580,0,2569,,,,,,,,,,,
5554104,5932027,8340,153735860,0,1589231,79950,118416,0,129275,0,1397,,,,,,,,,,,
4544500,4657716,6376,114528206,0,840793,143932,16040,28025,0,0,1041,,,,,,,,,,,
6238393,6391281,8737,165735817,0,1744114,214807,0,0,155056,0,1506,,,,,,,,,,,
5357938,5903319,9399,156194026,0,1802667,0,0,209638,129833,0,1420,,,,,,,,,,,
4946382,5398279,9148,162760113,0,851918,72092,280932,37890,0,0,1479,,,,,,,,,,,
6481563,6713142,10065,219553532,0,1283070,296765,0,291217,29580,0,1996,,,,,,,,,,,
5598922,6199251,11580,173477497,0,1882062,0,0,280184,131193,0,1577,,,,,,,,,,,
4521299,5042019,7375,145054779,0,1127381,4229,0,314170,0,0,1318,,,,,,,,,,,
6724315,7495424,12681,216745451,0,2329914,0,258139,72017,240425,0,1970,,,,,,,,,,,
6149624,6398303,11985,211624196,0,1137869,268020,0,322849,0,0,1923,,,,,,,,,,,
5031583,5157571,7243,141595194,0,920061,193091,0,106909,0,0,1287,,,,,,,,,,,
5349131,5963354,9337,192320899,0,1212505,53038,142507,299486,16482,0,1748,,,,,,,,,,,
5094173,5715220,11585,200301305,0,1103417,17054,248370,201809,0,1,1820,,,,,,,,,,,
7569478,8084144,12747,288331348,0,1516703,293529,261431,269619,71932,0,2621,,,,,,,,,,,
8584893,9554755,14393,313321235,0,2860250,99393,349975,202383,306959,0,2848,,,,,,,,,,,
5355067,5482823,10274,159602778,0,968280,220634,0,153989,0,0,1451,,,,,,,,,,,
6327317,6945744,10148,201412133,0,1979831,55464,169099,119488,174334,0,1831,,,,,,,,,,,
3804110,4094868,6124,88807649,0,896256,0,0,83603,0,0,807,,,,,,,,,,,
4405855,4875402,7674,135019185,0,850727,7810,231258,37347,0,0,1227,,,,,,,,,,,
8137093,8956426,13714,309970414,0,2265366,176157,288880,311457,189683,0,2817,,,,,,,,,,,
8891664,9256941,14112,271732846,0,2962365,303402,60210,61724,347469,0,2470,,,,,,,,,,,
4935341,5269331,8423,152857770,0,813668,111973,236755,0,0,0,1389,,,,,,,,,,,
8331151,8694411,13530,270047569,0,2983539,241373,0,94136,323885,1,2455,,,,,,,,,,,
8053761,8544386,12581,260204360,0,2633938,230467,0,251516,261177,0,2365,,,,,,,,,,,
6442303,6835405,9659,237947169,0,1098615,261467,155168,284293,0,0,2163,,,,,,,,,,,
4820002,5078786,7337,139204028,0,846318,120992,163927,0,5517,0,1265,,,,,,,,,,,
5622809,6047399,10681,134793303,0,2170341,0,5174,0,226014,0,1225,,,,,,,,,,,
5875398,5836188,10027,168470001,0,1003937,321986,0,62107,21256,0,1531,,,,,,,,,,,
5683854,5837702,10481,151822738,0,1456884,180327,0,43073,99925,0,1380,,,,,,,,,,,
6091797,6363464,11144,187792434,0,1497933,200584,0,194756,81409,0,1707,,,,,,,,,,,
5937979,6580317,9532,180935347,0,1892826,0,253160,0,179803,0,1644,,,,,,,,,,,
5338527,5802869,8089,137607893,0,1917562,0,0,83913,170037,0,1251,,,,,,,,,,,
7318464,8184960,13566,242641785,0,2896687,0,33210,346917,289035,0,2205,,,,,,,,,,,
4347193,4566578,7363,116043975,0,1007394,61978,53157,0,25063,1,1055,,,,,,,,,,,
8345269,9442518,16087,301200203,0,3197170,0,232901,328352,342025,0,2738,,,,,,,,,,,
5229484,5301735,8018,132384370,0,1159781,192481,0,0,57717,0,1203,,,,,,,,,,,
