DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA
5969717,5989733,10639,167190205,0,1466139,176944,100967,0,108623,0,1519,
6566657,6750541,10385,204057244,0,1881715,166491,0,228210,139841,0,1855,
5223333,5399530,9537,170415869,0,1123626,113195,0,309586,0,0,1549,
7363065,7615056,11614,234513155,0,2077848,189244,213135,43043,203298,0,2132,
5251427,5526609,8765,145793191,0,1551994,0,175001,0,123037,0,1325,
6359330,6650643,12065,179830219,0,2251436,57125,0,149202,214580,0,1634,
9938559,10601629,17536,382362997,0,3082044,256740,302358,314372,317749,1,3476,
4808470,4672597,8040,123739998,0,868370,171678,0,54966,0,0,1124,
8100658,8518021,13355,284936477,0,2362867,212303,145897,289826,209544,0,2590,
4710820,5058654,9016,156179695,0,881419,0,298088,67614,0,0,1419,
6204122,6175806,10587,206607406,0,1093036,291745,0,278435,0,0,1878,
6052866,6150631,11139,199616218,0,1288516,212874,0,293846,29994,0,1814,
6313610,6694445,11747,175345820,0,2301166,0,149057,0,247765,0,1594,
5454693,5392204,9018,164203785,0,935240,219998,53295,121314,0,0,1492,
4480024,4737651,8883,134391578,0,1125789,0,0,265425,7759,0,1221,
7559751,8038735,11922,243674313,0,2765865,88193,0,314484,272710,0,2215,
6955664,7366758,12429,220124474,0,2419450,80268,0,288070,219397,0,2001,
6092608,6460165,11838,183883129,0,2291570,0,0,180562,208717,1,1671,
5947253,6489547,10080,208712812,0,1750756,0,156554,301907,105740,0,1897,
7581646,7839189,12494,250567812,0,1944811,221382,308434,0,188248,0,2277,
8697759,9354410,14467,319488987,0,2675457,160885,309738,253075,267747,0,2904,
6549181,6552642,11299,208644804,0,1260447,274838,182896,40424,67548,0,1896,
7380842,7730381,12603,239988563,0,2148319,153342,244599,60608,212059,0,2181,
6423934,6274249,10744,183850113,0,1418958,297278,0,71374,88840,0,1671,
6857187,7179076,12280,246393562,0,1607548,195721,132437,314899,79566,0,2240,
7284543,7596594,12863,236310819,0,2281080,167904,0,295355,195046,0,2148,
4812035,4913930,8980,125106206,0,1518531,0,53050,0,110222,1,1137,
5479952,5148911,8316,144743347,0,813631,311429,0,0,0,0,1315,
4533641,4825345,9255,141899561,0,871444,0,248485,57581,0,0,1290,
4655652,4649530,7903,126052402,0,940899,110051,0,127537,0,0,1146,
4667204,4950257,8228,149138243,0,1132257,17286,0,318650,0,0,1355,
5417635,5197055,8409,146422228,0,933104,259743,0,44882,12437,0,1331,
3695135,3675427,6177,73807491,0,812663,7674,13883,0,0,0,671,
7859801,8613792,14022,267662972,0,2957054,0,220114,229671,318571,0,2433,
4149148,4284153,7783,109529515,0,976096,7911,0,162817,0,0,995,
5027817,4979060,8906,130560942,0,1127214,139639,0,66959,41088,0,1186,
5787710,6238939,10199,186513328,0,1782684,0,137682,201676,127787,0,1695,
8020502,8105582,12217,227568262,0,2657700,249160,41740,0,307079,0,2068,
5948903,5972774,10607,179246453,0,1192284,204341,178007,0,62971,0,1629,
4208933,4375239,8833,125193254,0,938896,0,104237,81144,0,1,1138,
4208798,4390828,8469,115991989,0,980037,0,31364,166516,0,0,1054,
4753466,4717707,7598,128720497,0,928285,133223,0,115021,0,0,1170,
4926365,5218591,8171,146874313,0,1386730,0,49926,203039,61695,0,1335,
7069313,7084020,12222,224727062,0,1696648,298374,6647,205793,112651,0,2043,
7995333,8119416,13661,225174264,0,2774229,225139,0,41236,319629,0,2047,
7770657,7867725,11923,235830719,0,2349950,265401,16708,130281,234150,0,2143,
5636793,5865246,9170,169577774,0,1449377,75656,181435,45184,98372,0,1541,
5838711,6238455,10705,175734328,0,1830926,0,200902,54483,160324,0,1597,
4731209,4988120,8405,139146899,0,1242745,4851,56759,183928,40863,0,1265,
5181826,5222568,8454,157856744,0,1028311,154832,0,214631,0,0,1435,
5066971,5310099,8558,136754658,0,1475177,0,152563,0,110252,0,1243,
5320352,5340430,12015,178486602,0,1109468,166533,0,207198,0,1,1622,
5352119,5684783,9591,178795803,0,1316514,50768,90215,272151,38372,0,1625,
6137606,6168664,10028,202086756,0,1221759,248961,0,277265,21687,0,1837,
6118378,6539522,11227,182419831,0,1989217,0,240871,0,195760,0,1658,
6956077,7108868,11420,250417512,0,1163748,290307,297840,119184,38271,0,2276,
5996372,6532285,11914,211014268,0,1744823,12300,140731,319610,101709,0,1918,
5470136,5677466,8624,132627414,0,2010069,0,0,35660,193490,0,1205,
5009898,5210289,8386,128172666,0,1527528,0,106219,0,119026,0,1165,
6736656,7120369,11309,179207802,0,2794519,0,0,83402,316064,0,1629,
5726466,5661060,9185,173523094,0,1096147,238568,0,172725,18240,0,1577,
6803246,7223297,10729,189338122,0,2789216,0,0,137535,306186,0,1721,
3947521,3980089,7352,82264859,0,1014299,0,0,21072,30036,0,747,
7232652,7400821,13793,224000113,0,2498409,160296,0,106525,248099,1,2036,
6621718,7140466,11839,208299162,0,2189148,0,309056,0,229070,0,1893,
4799285,4912829,8698,107174430,0,1578192,0,8429,0,127465,0,974,
3895092,3965976,7137,91231525,0,813007,0,94482,0,0,0,829,
4085593,4177709,7092,96743760,0,1041071,0,0,89937,23019,0,879,
5383086,5414328,9660,167256801,0,910150,180397,131694,96093,0,0,1520,
4777036,5147151,9781,161168757,0,961259,0,239428,147105,0,0,1465,
6608695,6847011,10038,183265429,0,2354727,85317,0,105306,239180,0,1666,
6843794,7376525,13062,211377291,0,2664461,0,0,283831,260871,0,1921,
4571661,4620502,8570,125055105,0,963701,83868,0,150105,0,0,1136,
6648314,7132357,10658,203135742,0,2280552,3890,265253,0,244327,0,1846,
4657477,4976746,8654,149967982,0,864656,0,311288,22869,4680,0,1363,
4848262,5241750,9593,166950159,0,1078575,0,146195,264483,0,0,1517,
8623622,8712012,14921,291153234,0,2591745,317409,164673,0,274162,1,2646,
4525134,4369918,7853,106877855,0,822850,147290,0,9449,0,0,971,
7958803,8085884,13284,261791226,0,2096861,313118,79091,190239,181832,0,2379,
6556256,6881036,12099,252721289,0,1051650,214089,313830,236454,0,0,2297,
7417795,7776142,12650,239554942,0,2306528,146489,150016,145729,224292,0,2177,
4185639,4220647,8159,103015167,0,908610,47508,0,95188,0,0,936,
6321863,6597474,10269,154250717,0,2606006,0,0,0,298681,0,1402,
7945028,8393896,12234,258369747,0,2793210,133310,48377,266387,285261,0,2348,
5186441,5695657,11352,193406978,0,1045921,0,290017,231143,0,0,1758,
5593296,5918523,9155,158635697,0,1938312,0,0,189344,155844,0,1442,
8342639,8586653,13588,292303245,0,2522681,240493,261693,0,262724,1,2657,
5630932,5924913,9506,152228495,0,1887283,0,125359,12064,176862,0,1383,
4613498,4842930,8323,142185199,0,837538,27120,255644,23930,0,0,1292,
6814769,7091844,12281,174465614,0,2724468,42291,17733,0,318310,0,1586,
7479259,7977821,13177,234662972,0,2564995,61506,281525,0,291564,0,2133,
6936978,7080359,12274,218529840,0,1918246,218399,0,228524,145796,0,1986,
6831198,7177078,11727,197496254,0,2357989,64054,164888,0,257182,0,1795,
5086079,5559816,9114,186511302,0,1059568,0,246771,245594,0,0,1695,
6601790,6962449,12362,173408804,0,2686418,0,27033,46310,304242,0,1576,
7065417,7225998,11037,215993915,0,2121741,198498,0,189889,186185,0,1963,
5179968,5571526,9305,170009146,0,1262529,0,235120,123440,54193,0,1545,
7408817,7307654,13066,236683129,0,2050343,307875,47489,9148,182544,1,2151,
6458143,6657356,10376,175354099,0,2252905,91134,0,82016,226080,0,1594,
5837747,6291203,10580,187270624,0,1846602,0,109657,224707,134598,0,1702,
6006941,6250349,11022,144068246,0,2393123,0,0,0,263170,0,1309,
4369284,4554889,8990,124649043,0,1030788,16690,0,216990,0,0,1133,
7044455,7570335,12622,213130204,0,2734481,0,99780,150730,294811,0,1937,
7419001,7965041,12207,246937588,0,2398896,63815,306347,71400,252044,0,2244,
6855296,7176429,11953,198031130,0,2347566,75781,152023,6449,254406,0,1800,
5647992,5994637,10036,163969699,0,1885075,0,62659,152214,153128,0,1490,
5624588,6033509,11476,175503241,0,1828223,0,15622,285450,121363,0,1595,
4262514,4356333,8361,97308257,0,1128378,0,57010,0,52486,0,884,
4825322,5102831,11270,171602058,0,1095546,0,287684,0,25127,1,1560,
5378438,5784336,9584,174078250,0,1561734,0,83243,259869,81285,0,1582,
8240346,8314963,12086,241061508,0,2606053,282395,74456,0,298477,0,2191,
7092003,7261046,11468,185896284,0,2623538,122318,0,4946,300621,0,1690,
7660860,7781047,12988,256658246,0,1790943,310566,168981,130659,140793,0,2333,
4697003,4492912,6662,113068701,0,812923,181869,0,0,0,0,1027,
7848829,7998823,12903,246085785,0,2307094,266709,49528,151975,223270,0,2237,
7404255,7894609,13029,237546701,0,2671310,73952,43965,269417,264404,0,2159,
5758869,5964268,9990,188984053,0,1388561,135648,0,311824,43742,0,1718,
4458808,4723046,8778,135960557,0,866225,0,228731,52534,0,0,1236,
5942027,6290752,9588,166120554,0,2029987,0,164567,0,202639,0,1510,
6081626,6055736,9867,178890445,0,1560259,190671,74912,0,116944,1,1626,
5142875,5173777,8197,155094077,0,1018478,153052,0,204912,0,0,1410,
